Name,Ticker,Symbol,Symbol2,Sector,TIDM,
1PM PLC,OPM,LON:OPM,OPM.L,General Financial,OPM,
1SPATIAL PLC,SPA,LON:SPA,SPA.L,Support Services,SPA,
21ST CENTURY TECHNOLOGY PLC,C21,LON:C21,C21.L,Support Services,C21,
32RED PLC,TTR,LON:TTR,TTR.L,Travel & Leisure,TTR,
4D PHARMA PLC,DDDD,LON:DDDD,DDDD.L,Pharmaceuticals & Biotechnology,DDDD,
600 GROUP PLC,SIXH,LON:SIXH,SIXH.L,Industrial Engineering,SIXH,
7DIGITAL GROUP PLC,7DIG,LON:7DIG,7DIG.L,General Retailers,7DIG,
88 ENERGY LIMITED,88E,LON:88E,88E.L,Oil & Gas Producers,88E,
ABBEY PLC,ABBY,LON:ABBY,ABBY.L,Household Goods,ABBY,
ABCAM PLC,ABC,LON:ABC,ABC.L,Pharmaceuticals & Biotechnology,ABC,
AB DYNAMICS PLC,ABDP,LON:ABDP,ABDP.L,Industrial Engineering,ABDP,
ABERDEEN FRONT MKTS INV CO LTD ,AFMC,LON:AFMC,AFMC.L,Equity Investment Instruments,AFMC,
ABZENA PLC,ABZA,LON:ABZA,ABZA.L,Pharmaceuticals & Biotechnology,ABZA,
ACCESS INTELLIGENCE PLC,ACC,LON:ACC,ACC.L,Software & Computer Services,ACC,
ACCESSO TECHNOLOGY GROUP PLC,ACSO,LON:ACSO,ACSO.L,Software & Computer Services,ACSO,
ACCROL GROUP HOLDINGS PLC,ACRL,LON:ACRL,ACRL.L,Household Goods,ACRL,
ACCSYS TECHNOLOGIES PLC,AXS,LON:AXS,AXS.L,Construction & Materials,AXS,
ACTION HOTELS PLC,AHCG,LON:AHCG,AHCG.L,Travel & Leisure,AHCG,
ACTIVE ENERGY GROUP PLC,AEG,LON:AEG,AEG.L,Alternative Energy,AEG,
ACTUAL EXPERIENCE PLC,ACT,LON:ACT,ACT.L,Software & Computer Services,ACT,
ADAMAS FINANCE ASIA LD,ADAM,LON:ADAM,ADAM.L,General Financial,ADAM,
ADAMS PLC,ADA,LON:ADA,ADA.L,Real Estate Investment & Services,ADA,
ADEPT4  PLC,AD4,LON:AD4,AD4.L,Software & Computer Services,AD4,
ADEPT TELECOM PLC,ADT,LON:ADT,ADT.L,Fixed Line Telecommunications,ADT,
ADGORITHMS LTD,ADGO,LON:ADGO,ADGO.L,Media,ADGO,
ADVANCED MEDICAL SOLUTIONS GRP PLC,AMS,LON:AMS,AMS.L,Health Care Equipment & Services,AMS,
ADVANCED ONCOTHERAPY PLC,AVO,LON:AVO,AVO.L,Health Care Equipment & Services,AVO,
ADVFN PLC,AFN,LON:AFN,AFN.L,General Financial,AFN,
AEOREMA COMMUNICATIONS PLC,AEO,LON:AEO,AEO.L,Media,AEO,
AFC ENERGY PLC,AFC,LON:AFC,AFC.L,Alternative Energy,AFC,
AFH FINANCIAL GROUP PLC,AFHP,LON:AFHP,AFHP.L,General Financial,AFHP,
AGGREGATED MICRO POWER HOLDINGS PLC,AMPH,LON:AMPH,AMPH.L,Electricity,AMPH,
AGRITERRA LD,AGTA,LON:AGTA,AGTA.L,Food Producers,AGTA,
AIREA PLC,AIEA,LON:AIEA,AIEA.L,Household Goods,AIEA,
"AKERS BIOSCIENCES, INC",AKR,LON:AKR,AKR.L,Health Care Equipment & Services,AKR,
