"","colMeans(r)","name","BuyPrice","SellPrice","BuyDate","SellDate","Event","Gain"
"LON.BOO.Close",158.615384615385,"LON:BOO",138.5,152.35,"2017-02-06","2017-02-28","Exited Long",1.1
"LON.BUR.Close",161.942307692308,"LON:BUR",662.5,728.75,"2017-02-13","2017-03-03","Exited Long",1.1
"LON.BKY.Close",173.25,"LON:BKY",61.5,58.425,"2017-02-20","2000-01-01","STOP LOSS",0.95
"LON.FEVR.Close",187.692307692308,"LON:FEVR",NA,NA,NA,NA,"Failed to open Long",NA
"LON.FCRM.Close",196.807692307692,"LON:FCRM",61.14,58.083,"2017-03-14","2000-01-01","STOP LOSS",0.95
"LON.BUR.Close1",162.057692307692,"LON:BUR",662.5,728.75,"2017-02-13","2017-03-03","Exited Long",1.1
"LON.BOO.Close1",163.384615384615,"LON:BOO",135,148.5,"2017-02-08","2017-02-23","Exited Long",1.1
"LON.BKY.Close1",174.519230769231,"LON:BKY",57.05,54.1975,"2017-02-23","2000-01-01","STOP LOSS",0.95
"LON.FEVR.Close1",187.653846153846,"LON:FEVR",NA,NA,NA,NA,"Failed to open Long",NA
"LON.FCRM.Close1",196.038461538462,"LON:FCRM",61.14,58.083,"2017-03-14","2000-01-01","STOP LOSS",0.95
"LON.BOO.Close2",161.615384615385,"LON:BOO",NA,NA,NA,NA,"Failed to open Long",NA
"LON.BUR.Close2",163.75,"LON:BUR",750,825,"2017-04-03","2017-05-16","Exited Long",1.1
"LON.BKY.Close2",174.211538461538,"LON:BKY",61,57.95,"2017-02-21","2000-01-01","STOP LOSS",0.95
"LON.FEVR.Close2",188.730769230769,"LON:FEVR",1446.95,1591.645,"2017-03-20","2017-04-18","Exited Long",1.1
"LON.FCRM.Close2",195.5,"LON:FCRM",62,58.9,"2017-02-27","2000-01-01","STOP LOSS",0.95
"LON.BOO.Close3",158.769230769231,"LON:BOO",NA,NA,NA,NA,"Failed to open Long",NA
"LON.BUR.Close3",163.519230769231,"LON:BUR",747,821.7,"2017-05-04","2017-05-16","Exited Long",1.1
"LON.BKY.Close3",176.826923076923,"LON:BKY",57.05,54.1975,"2017-02-23","2000-01-01","STOP LOSS",0.95
"LON.FEVR.Close3",187.769230769231,"LON:FEVR",1446.95,1591.645,"2017-03-20","2017-04-18","Exited Long",1.1
"LON.FCRM.Close3",196.5,"LON:FCRM",62,58.9,"2017-02-27","2000-01-01","STOP LOSS",0.95
"LON.BOO.Close4",160.555555555556,"LON:BOO",NA,NA,NA,NA,"Failed to open Long",NA
"LON.BUR.Close4",164.203703703704,"LON:BUR",733.5,806.85,"2017-05-09","2017-05-16","Exited Long",1.1
"LON.FEVR.Close4",185.148148148148,"LON:FEVR",1446.95,1591.645,"2017-03-20","2017-04-18","Exited Long",1.1
"LON.BKY.Close4",193.166666666667,"LON:BKY",52.78,50.141,"2017-03-01","2000-01-01","STOP LOSS",0.95
"LON.FCRM.Close4",196.518518518519,"LON:FCRM",61.14,58.083,"2017-03-14","2000-01-01","STOP LOSS",0.95
"LON.BOO.Close5",162.296296296296,"LON:BOO",NA,NA,NA,NA,"Failed to open Long",NA
