,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
LON.7DIG.Close,1,1,1,844,676,718,226.5,484,565.5,716,552,483,113,178,294,709,809,755
LON.88E.Close,2,2,2,1,771,858,584,34,133,202,805,182,421,195,619,313,455,55
LON.AAA.Close,3,3,3,857,855,870,866,870,887,889,888,462,901,904,867.5,918,871,890
LON.AAOG.Close,4,4,4,858,856,871,867,871,888,890,889,897,902,905,913,919,920,827
LON.AAU.Close,5,5,5,29,203,119,430,119,302,459,561,437,424,223.5,470,381,700,576
LON.AAZ.Close,6,6,6,61,89,11,9,41,628,113,93,50,789,382,797,814,825,644
LON.ABBY.Close,7,7,7,710,634,647,318,544,436,463,223,188,312,466,580,605,493,429
LON.ABC.Close,8,8,8,605,551,114,104,257,402,294,219,595,639,458,373,376,261,170
LON.ABDP.Close,9,9,9,82,88,366,297,496,353,587,279,176,221,343,328,424,441,630
LON.ABTU.Close,10,10,10,859,857,872,868,872,889,891,890,898,903,906,914,838.5,899,891
LON.ABZA.Close,11,11,11,497,552,709,627,594,505,613,728,654,428,395,419,754,379,289
LON.ACC.Close,12,12,12,295,296,227,468,521.5,648,453,603.5,621,751,634.5,618,611.5,572,588.5
LON.ACP.Close,13,13,13,596.5,843,711,552,67,254,56,68,331,821,873,887,887,693.5,484
LON.ACRL.Close,14,14,14,860,858,873,869,873,159,345,440,582,298,304,299,421,412,384
LON.ACSO.Close,15,15,15,149,107,165,100,172,202,475,367,332,386,464,372,216,264,255
LON.AD4.Close,16,16,16,751,625,633,369,244,124,591,718,799,548,614,598,780,686,694
LON.ADA.Close,17,17,17,476.5,468,807,581,663,890,724,651,899,55,65,104,489.5,638,839
LON.ADAM.Close,18,18,18,861,859,717,870,874,480.5,238,147,104,331,907,655,530,921,892
LON.ADGO.Close,19,19,19,756,666,173,237,260.5,324.5,317,354.5,581,372,771,272,60.5,17,124.5
LON.ADL.Close,20,20,20,862,860,874,834,527,495.5,767.5,864,874,361.5,257.5,223.5,786,733.5,821
LON.ADT.Close,21,21,21,284.5,190,171,519,536,716,651,420,198,141,162,221,278,380,424
LON.AEG.Close,22,22,22,535,747,597,817,827,797,580.5,280,328,336,662,707,745,225,220
LON.AEN.Close,23,23,23,436,160,313,373,758,727,76,49,107,798,386,70,12,18,35
LON.AEO.Close,24,24,24,319,419,268,258,345,694,492,401,610,638,663,286,481,732,731
LON.AERO.Close,25,25,25,855,852,868,832.5,860,702,775,791.5,881,897,900,905,745,766,767.5
LON.AFC.Close,26,26,26,833,797,246,124,52,123,561,656,485,665,857,863,834.5,623,705
LON.AFG.Close,27,27,27,852,720.5,664,12,33,36,838,753,563,77,417,809,859,835,282
LON.AFHP.Close,28,28,28,581,482,284,330,479,641,478,449,364.5,480,320,354,296,440,30
LON.AFMC.Close,29,29,29,335,321,225,173,225,474,333,352,299,479,460,497,506,516,411
LON.AFN.Close,30,30,30,811,821,771,80,70.5,121,482,340,284,439,600,821,826,849,645.5
LON.AFS.Close,31,31,31,284.5,212,277,514,706,714,815,778,768.5,310,398,319.5,584,502,493
LON.AFX.Close,32,32,32,863,861,875,871,875,891,892,891,900,904,908,915,920,922,893
LON.AGL.Close,33,33,33,457,240,691,326,597,298,625,358,820,785,677,669,385,573,110
LON.AGM.Close,34,34,34,434,536,683,614,684,697,328,492.5,578,526,358.5,250,256,112,98
LON.AGP.Close,35,35,35,864,862,876,872,876,892,893,892,901,905,909,96,8,815,880
LON.AGQ.Close,36,36,36,525,725,693,496,625,761,844,771,672,215.5,79,268,367,818,627
LON.AGTA.Close,37,37,37,832,832,856,725,321,217.5,609,834.5,850.5,786,267.5,58,188,474,159.5
LON.AGY.Close,38,38,38,541,639,769,745,774,492,283,295,300,248,201,150,371,410.5,606
LON.AHCG.Close,39,39,39,153,239,422,453,671,521.5,670,491,607.5,487,644,675,829,749,647
LON.AIEA.Close,40,40,40,322.5,328,725,551,412,50,41,42,146,397,762,728,616,339,265
LON.AKR.Close,41,41,41,315,65,54,19,38,358,237,737,835,893,893,803,90,145,765
LON.ALBA.Close,42,42,42,240,822,839,811,642,138,31,75,77.5,453.5,723,841,817,765,626
LON.ALT.Close,43,43,43,192,219,106,67,29,9,5,5,36,153,795,792,717,275,580
LON.AMBR.Close,44,44,44,774,813,549,418,620,848,851,810,621,346,311,693,699,511,229
